# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 ElectricField
# x GenerationRate Intensity ElectricField 
0 0 821.395 762.4 
1 0 820.011 760.999 
2 0 817.308 758.262 
3 0 814.736 755.655 
4 0 812.299 753.181 
5 0 809.996 750.841 
6 0 807.829 748.638 
7 0 805.801 746.574 
8 0 803.912 744.65 
9 0 802.163 742.867 
10 0 800.556 741.228 
11 0 799.092 739.734 
12 0 797.771 738.385 
13 0 796.595 737.184 
14 0 795.564 736.13 
15 0 794.679 735.225 
16 0 793.941 734.47 
17 0 793.35 733.866 
18 0 792.906 733.412 
19 0 792.61 733.109 
20 0 792.499 732.995 
20 1.16329e+17 1205.96 732.919 
21 1.16326e+17 1205.93 732.904 
22 1.16315e+17 1205.82 732.842 
23 1.16293e+17 1205.62 732.718 
24 1.16259e+17 1205.3 732.532 
25 1.16214e+17 1204.88 732.284 
26 1.16158e+17 1204.36 731.975 
27 1.16091e+17 1203.74 731.605 
28 1.16013e+17 1203.01 731.173 
29 1.15923e+17 1202.18 730.681 
30 1.15823e+17 1201.25 730.129 
31 1.15712e+17 1200.22 729.518 
32 1.15591e+17 1199.09 728.847 
33 1.15458e+17 1197.85 728.117 
34 1.15315e+17 1196.52 727.329 
35 1.15162e+17 1195.1 726.484 
36 1.14998e+17 1193.58 725.582 
37 1.14824e+17 1191.96 724.624 
38 1.14639e+17 1190.25 723.611 
39 1.14445e+17 1188.44 722.544 
40 1.14241e+17 1186.55 721.423 
41 1.14027e+17 1184.56 720.25 
42 1.13804e+17 1182.49 719.024 
43 1.13572e+17 1180.33 717.749 
44 1.1333e+17 1178.09 716.423 
45 1.13079e+17 1175.76 715.049 
46 1.1282e+17 1173.36 713.628 
47 1.12551e+17 1170.87 712.16 
48 1.12275e+17 1168.31 710.648 
49 1.1199e+17 1165.67 709.091 
50 1.11696e+17 1162.96 707.491 
51 1.11396e+17 1160.17 705.85 
52 1.11087e+17 1157.32 704.169 
