# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
0 0 701.1 15439.7 0 0 0 
1 0 699.968 15431.6 0 0 0 
2 0 697.757 15414.4 0 0 0 
3 0 695.652 15395.3 0 0 0 
4 0 693.653 15374.2 0 0 0 
5 0 691.762 15351.2 0 0 0 
6 0 689.98 15326.1 0 0 0 
7 0 688.309 15299.1 0 0 0 
8 0 686.749 15270.1 0 0 0 
9 0 685.301 15239.2 0 0 0 
10 0 683.966 15206.3 0 0 0 
11 0 682.744 15171.5 0 0 0 
12 0 681.638 15134.7 0 0 0 
13 0 680.646 15096 0 0 0 
14 0 679.771 15055.4 0 0 0 
15 0 679.012 15012.8 0 0 0 
16 0 678.369 14968.4 0 0 0 
17 0 677.844 14922 0 0 0 
18 0 677.436 14873.7 0 0 0 
19 0 677.145 14823.6 0 0 0 
20 0 677.029 14798 0 0 0 
20 3.37567e+19 962.505 14745.1 0 0 0 
21 3.37565e+19 962.453 14717.2 0 0 0 
22 3.37551e+19 962.321 14659.5 0 0 0 
23 3.37517e+19 962.134 14598.1 0 0 0 
24 3.37462e+19 961.892 14532.9 0 0 0 
25 3.37388e+19 961.596 14464 0 0 0 
26 3.37293e+19 961.245 14391.4 0 0 0 
27 3.37178e+19 960.84 14315.2 0 0 0 
28 3.37043e+19 960.381 14235.3 0 0 0 
29 3.36888e+19 959.868 14151.9 0 0 0 
30 3.36713e+19 959.301 14064.8 0 0 0 
31 3.36518e+19 958.681 13974.2 0 0 0 
32 3.36303e+19 958.008 13880.1 0 0 0 
33 3.36068e+19 957.282 13782.5 0 0 0 
34 3.35815e+19 956.505 13681.5 0 0 0 
35 3.35542e+19 955.676 13577 0 0 0 
36 3.3525e+19 954.797 13469.2 0 0 0 
37 3.34939e+19 953.868 13358 0 0 0 
38 3.3461e+19 952.89 13243.6 0 0 0 
39 3.34263e+19 951.864 13125.9 0 0 0 
40 3.33899e+19 950.79 13005 0 0 0 
